time,end_time,eqmt,tons
12/18/2019 8:10,12/18/2019 8:12,1,398
12/18/2019 9:10,12/18/2019 9:12,1,401
12/18/2019 10:05,12/18/2019 10:07,1,410
12/18/2019 11:22,12/18/2019 11:24,1,398
12/18/2019 12:18,12/18/2019 12:20,1,399
12/18/2019 13:16,12/18/2019 13:18,1,398
12/18/2019 14:45,12/18/2019 14:47,1,400
12/18/2019 15:39,12/18/2019 15:41,1,401
12/18/2019 8:32,12/18/2019 8:34,2,397
12/18/2019 9:35,12/18/2019 9:37,2,402
12/18/2019 10:26,12/18/2019 10:28,2,399
12/18/2019 11:22,12/18/2019 11:24,2,398
12/18/2019 12:24,12/18/2019 12:26,2,400
12/18/2019 13:22,12/18/2019 13:24,2,400
12/18/2019 14:11,12/18/2019 14:13,2,401
12/18/2019 15:29,12/18/2019 15:31,2,420
